name,imageUrl,url,marketPrice,extNumber
Shave,https://tcgplayer-cdn.tcgplayer.com/product/552124_200w.jpg,https://cpt.tcgcsv.com/vSq6,0.44,OP07-094,
Atlas,https://tcgplayer-cdn.tcgplayer.com/product/552125_200w.jpg,https://cpt.tcgcsv.com/wSq6,3.91,OP07-098,
Shaka,https://tcgplayer-cdn.tcgplayer.com/product/552126_200w.jpg,https://cpt.tcgcsv.com/xSq6,9.68,OP07-101,
Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/552127_200w.jpg,https://cpt.tcgcsv.com/zSq6,23.33,OP07-104,
Pythagoras,https://tcgplayer-cdn.tcgplayer.com/product/552128_200w.jpg,https://cpt.tcgcsv.com/BSq6,3.7,OP07-105,
Roronoa Zoro (113),https://tcgplayer-cdn.tcgplayer.com/product/552129_200w.jpg,https://cpt.tcgcsv.com/CSq6,7.49,OP07-113,
He Possesses the World's Most Brilliant Mind,https://tcgplayer-cdn.tcgplayer.com/product/552130_200w.jpg,https://cpt.tcgcsv.com/DSq6,5.26,OP07-114,
500 Years in the Future - Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/532104_200w.jpg,https://cpt.tcgcsv.com/6Sg6,4.41,,
500 Years in the Future - Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/532105_200w.jpg,https://cpt.tcgcsv.com/7Sg6,6.77,,
500 Years in the Future - Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/532106_200w.jpg,https://cpt.tcgcsv.com/8Sg6,114.89,,
500 Years in the Future - Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/532107_200w.jpg,https://cpt.tcgcsv.com/9Sg6,1248.84,,
Monkey.D.Dragon (001),https://tcgplayer-cdn.tcgplayer.com/product/545778_200w.jpg,https://cpt.tcgcsv.com/Bkn6,0.11,OP07-001,
Monkey.D.Dragon (001) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545779_200w.jpg,https://cpt.tcgcsv.com/Ckn6,15.96,OP07-001,
Ain,https://tcgplayer-cdn.tcgplayer.com/product/545780_200w.jpg,https://cpt.tcgcsv.com/Dkn6,0.11,OP07-002,
Outlook III,https://tcgplayer-cdn.tcgplayer.com/product/545781_200w.jpg,https://cpt.tcgcsv.com/Fkn6,0.04,OP07-003,1000
Curly.Dadan,https://tcgplayer-cdn.tcgplayer.com/product/545782_200w.jpg,https://cpt.tcgcsv.com/Gkn6,0.05,OP07-004,1000
Carina,https://tcgplayer-cdn.tcgplayer.com/product/545783_200w.jpg,https://cpt.tcgcsv.com/Hkn6,0.12,OP07-005,1000
Carina (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545784_200w.jpg,https://cpt.tcgcsv.com/Jkn6,6.47,OP07-005,1000
Sterry,https://tcgplayer-cdn.tcgplayer.com/product/545785_200w.jpg,https://cpt.tcgcsv.com/Kkn6,0.03,OP07-006,1000
